Source	Sid	Equa
CYSASNNaEx	R752E8C3E	MNXR96989
HEX7	R75776B34	MNXR100614
"NADHtpu;NADtpu"	R758E665	MNXR101881
DCYTt	R75B7BCC3	MNXR97208
MECOAS1m	R75DC866	MNXR101453
ADSS	R75E08CB8	MNXR95495
SFGTH	R76CB3379	MNXR104357
PIK5	R76E1BD99	MNXR102844
FAOXC160	R76EF4810	MNXR99294
SACCD3m	R7704C52B	MNXR104238
PRFGS	R77105C58	MNXR103165
GUAD	R77447400	MNXR100464
EX_itacon	R7747C945	
GGLUCT	R77649AF2	MNXR100126
C226CPT1	R778105DE	MNXR96403
ACETONEt2	R778D26B5	MNXR95230
Htm	R77C05FFE	MNXR100765
DHPR2	R77C385F6	MNXR97437
GLYBtm	R78256057	MNXR100317
RNDR4	R784301B1	MNXR104066
HAS1	R78546BBB	MNXR100558
7DHCHSTEROLtr	R787ADD62	MNXR95108
EBP2r	R7885E3F7	MNXR96687
SPODM	R78E921A2	MNXR104498
NTD6	R797FEAF7	MNXR102036
SPHMYLNtl	R79A5D89	MNXR104488
PI345P3P	R7A63D9D6	MNXR102661
CYTK14n	R7A8D80DE	MNXR97052
CYOu10m	R7AC1BD5A	MNXR96977
EX_na1_LPAREN_e_RPAREN_	R7AF96ED5	MNXR97601
CYSTGLUex	R7B48BC00	MNXR97013
SERtp	R7B92BB5	MNXR104354
PYDAMtr	R7BB00B38	MNXR103358
EX_his_L_LPAREN_e_RPAREN_	R7BB6BC6B	MNXR98656
3HLYTCL	R7C1F1CB	MNXR94896
SERCYSNaEx	R7C4C4691	MNXR104334
HSD17B7r	R7C6F986E	MNXR100715
EX_cytd_LPAREN_e_RPAREN_	R7C815D4E	MNXR98392
VACCCRNt	R7CA01692	MNXR105179
ETF	R7CA6DCF4	MNXR97965
SLDxm	R7CCC152E	MNXR104442
ACACT10m	R7CD5F45C	MNXR95195
GLNTHRNaEx	R7CE9CB6	MNXR100255
MTHFDm	R7D830866	MNXR101749
FUMAC	R7DA141D0	MNXR99706
EX_1mncam_LPAREN_e_RPAREN_	R7DB57F74	MNXR97998
FADH2tru	R7DB5F543	MNXR99212
S6TASE10ly	R7DD376AD	MNXR104209
ATPS4m	R7E212F3B	MNXR96136
PRASCS	R7E2E77D9	MNXR103158
PPAn	R7E9E798F	MNXR100808
CHOLtu	R7EE88AD8	MNXR96693
TYRTA	R7F0E3AF7	MNXR105000
TAURtcx	R7F269F8D	MNXR104735
RNDR3	R7F408F74	MNXR104064
DADAe	R803FD9FB	MNXR97076
LEUtec	R805FA008	MNXR101057
ASNSERNaEx	R8079F4B2	MNXR96061
PROSTGE2t	R80AFA5D2	MNXR103201
Rtotaltl	R80BD6403	MNXR104110
CHSTEROLt3	R81007BE5	MNXR96700
DGK1	R815BFA1D	MNXR97320
LEUt5m	R81E1B635	MNXR101057
SBTR	R8214A0A7	MNXR104286
EX_leu_L_LPAREN_e_RPAREN_	R82521F85	MNXR98700
FAOXC161802m	R825F119A	MNXR99301
EX_glyb_LPAREN_e_RPAREN_	R826A6402	MNXR98597
ATPtm	R8294F11F	MNXR96123
C160CRNt	R82C3C241	MNXR96385
FATP5t	R82E6121E	MNXR99454
RNMK	R82F4B32D	MNXR104069
CYSGLTH	R83A84BAE	MNXR96999
NDPK1m	R83E41157	MNXR96119
DESAT18_3	R84024BE5	MNXR97243
3DSPHR	R84061E12	MNXR94866
XYLTD_Dr	R847F9A94	MNXR105262
EX_thmtp_LPAREN_e_RPAREN_	R84C5B357	MNXR98976
H2Oter	R84F1AC49	MNXR98641
CO2tp	R8524D13B	MNXR96810
PHEt4	R855D171A	MNXR102636
H2Otn	R856B02C	MNXR98641
LALDO	R85AC958C	MNXR101009
CHLtm	R85EB243D	MNXR96693
PEPCKm	R86106852	MNXR102487
MI14PP	R861F5E7	MNXR101568
GPAM_hs	R863489A7	MNXR100400
DESAT18_6	R86362DA	MNXR97246
CGMPt	R864781B6	MNXR96659
TKT2	R865B974C	MNXR104869
DNDPt62m	R865D04DE	MNXR97327
EX_glu_L_LPAREN_e_RPAREN_	R869EE9D4	MNXR98583
CYSTGL	R86D09FA4	MNXR97012
PNP	R871545EC	MNXR103048
EX_gln_L_LPAREN_e_RPAREN_	R8717521D	MNXR98579
FTHFDH	R87223167	MNXR99670
EX_glc_LPAREN_e_RPAREN_	R87714E78	MNXR98569
NTD11	R8796A875	MNXR102030
ALASERNaEx	R87AE76CC	MNXR95694
C161CRN2t	R87F245AA	MNXR96389
TRPO2	R88629BB	MNXR104944
NDPK6	R887C9CD5	MNXR101938
CYTK2n	R887D9F78	MNXR97053
DADNt4	R887E9C16	MNXR97081
PYDXNtr	R88B5D1A7	MNXR103364
BHBt	R890DDF04	MNXR96249
FBP	R8946722C	MNXR99465
DHFtm	R8948F8BA	MNXR97404
THMt3	R8955327E	MNXR104829
PI5P4Kn	R89584A0A	MNXR102818
ADSL1	R896353BD	MNXR95493
CYTK14	R8994A5C9	MNXR97052
O2Stn	R89DAB79D	MNXR102089
SUCCt4_3	R89EFA0E5	MNXR104625
DCYTDn	R89F49E43	MNXR97207
ACALDt	R8A080C49	MNXR95212
MI145PP	R8A1A0485	MNXR101565
RTOT5	R8A1BF8A	MNXR104095
ITACTm	R8A40A199	
AMCOXO	R8A9304AB	MNXR95807
3SALATAim	R8AE3C7B4	MNXR94980
GGH_10FTHF5GLUl	R8B1B3A9E	MNXR100117
S6TASE4ly	R8B67100A	MNXR104229
ASPCTr	R8B72B85E	MNXR96080
MECOALm	R8B9864F9	MNXR101452
OIVD3m	R8BE21665	MNXR102174
EX_sph1p_LPAREN_e_RPAREN_	R8BE5B25F	MNXR98938
ASNS1	R8C012C2B	MNXR96059
ARTFR51	R8C1731CB	MNXR96019
ASNt4	R8C4C2423	MNXR96057
RTOTALCRNCPT1	R8C607A7D	MNXR104107
S6TASE22ly	R8C729E2F	MNXR104222
NKCCt	R8C89C330	MNXR101968
PROt2r	R8CDB3DAA	MNXR103211
DNDPt59m	R8CFD7E6A	MNXR97672
GLYCLTDy	R8D02E99E	MNXR100332
GLYCLTtp	R8D237AD8	MNXR100333
FTHFLm	R8D91A5C4	MNXR99672
NCKt	R8DC3245	MNXR101920
CYTK3	R8DD5F9FD	MNXR97056
GLXO1	R8DF48CE3	MNXR100304
GLYtm	R8E3B0DDA	MNXR100371
CRNt	R8E729792	MNXR96906
ARTFR212	R8EF30014	MNXR95995
H2O2tly	R8F632A53	MNXR98640
CYTK12n	R8FA882E3	MNXR97050
C14STRr	R8FC94AAE	MNXR96383
CRNtim	R8FCC81AF	MNXR96906
CYTK1n	R9002AC94	MNXR97047
SBTD_D2	R900A8607	MNXR104283
DNDPt51m	R901C2EA3	MNXR97204
MI4PP	R9040FC74	MNXR101579
CYTK13n	R90413588	MNXR97051
ARACHCRNt	R906FB58C	MNXR95916
4HOXPACDOX_LPAREN_NADP_RPAREN_	R907B25B	MNXR95016
FACOAL181i	R9083AEE4	MNXR99168
ILETA	R910B980C	MNXR96228
SARDHm	R910FB3B2	MNXR104274
VACCCPT2	R9145EE9	MNXR105178
GLUDxm	R9158E7D4	MNXR100085
GLU5Km	R915988C6	MNXR100277
CKc	R9181E35C	MNXR96757
EX_urea_LPAREN_e_RPAREN_	R91834A13	MNXR99025
PAIL45P_HStn	R919CA8E0	MNXR102332
ARGN	R91D86730	MNXR95945
ASPGLUm	R9229644F	MNXR96084
DNDPt38m	R924F9B74	MNXR97650
AMPtp	R9256A933	MNXR95830
CHLPCTD	R926FD88C	MNXR96686
GSNt5	R9272604D	MNXR100436
GALOR	R929F5387	MNXR100003
ADNt5	R92E674EC	MNXR95463
DNDPt13m	R937B695D	MNXR97631
PE_HStm	R9396EE9B	MNXR102505
PCm	R93A7B5AA	MNXR102391
DGULND	R93C0159E	MNXR97352
ME2m	R940FA4A2	MNXR101443
EX_thym_LPAREN_e_RPAREN_	R944AC173	MNXR98979
ARTFR33	R94A700D9	MNXR96003
DGSNtm	R94AA49	MNXR97324
ADMDC	R94AE94E3	MNXR95455
PETOHMhs	R94C86102	MNXR102503
ARACHCPT1	R94EADAE9	MNXR95915
ARTFR41	R95106CCC	MNXR96007
ARTFR13	R95A918D2	MNXR95973
GAPD	R95BAE1CE	MNXR100040
EX_co_LPAREN_e_RPAREN_	R96092C62	MNXR98354
MANt1r	R960F8E70	MNXR101402
MTHFC	R96290CDA	MNXR101748
HDD2COAtx	R9645C8B1	MNXR100584
ADKd	R967D208B	MNXR95454
NTD8	R96A43781	MNXR102038
AACOAT	R96A5226D	MNXR95136
BETALDHxm	R96BF8080	MNXR96237
CYTDt	R97075861	MNXR97043
DM_dttp_LPAREN_m_RPAREN_	R972AB21F	MNXR97579
ADA	R973F82C0	MNXR95432
PCHOL_HSter	R97A07EB4	MNXR102409
RTOTAL3CRNt	R97B08048	MNXR104104
MTHFCm	R984B629D	MNXR101748
MALTSULtm	R9859A15A	MNXR101357
MALSO3tm	R9862239A	MNXR101348
DNDPt39m	R98786F8E	MNXR97651
SGPL12r	R9884CA9A	MNXR104366
ALATA_L	R98D4EF19	MNXR95698
PSSA2_hs	R98D6E3D3	MNXR103291
TTDCAt	R99000158	MNXR99092
FATP7t	R99137A3D	MNXR99456
DESAT16_2	R991E735A	MNXR97239
3SALACBOXL	R9924C74	MNXR94978
UMPK5	R99537894	MNXR105122
C180CPT2	R99597737	MNXR96393
ARTFR45	R99704C8F	MNXR96015
NADPtru	R9995E9E1	MNXR101896
CITRtm	R9A1DF664	MNXR96735
FAOXC240200x	R9A34259A	MNXR99359
"DNDPt10m;DNDPt29m"	R9A35426B	MNXR97628
PDX5PO	R9A4262A	MNXR102438
OIVD2m	R9A66D8EA	MNXR102173
OCOAT1m	R9AADF436	MNXR102148
LNS14DMr	R9AB2701	MNXR101115
2DR1PP	R9AE024E3	MNXR94795
ACOAD9m	R9AF97D1A	MNXR95319
MGSA	R9B1FDC10	MNXR101551
PIPLC	R9B335856	MNXR102851
2OXOADPTm	R9B7190FE	MNXR94819
ARGLYSex	R9BA04C80	MNXR95944
DCK1n	R9BE1D683	MNXR95433
FAOXC140	R9C3D644F	MNXR99281
ASNGLNNaEx	R9CA7A639	MNXR96055
FUMSO4tm	R9CB3E978	MNXR99709
TYR3MO2	R9CD61849	MNXR104986
SUCD1m	R9D249B17	
10FTHF5GLUtl	R9D3AB8E8	MNXR94668
O2Stx	R9D61BF3A	MNXR102089
FATP3t	R9D70FDD	MNXR99452
PI5P4K	R9DAC41E9	MNXR102818
CITtbm	R9DF17E30	MNXR96754
MI134P4P	R9E0CD8CC	MNXR101560
ACHtn	R9E20BD04	MNXR95267
ASCBt4	R9EC41B95	MNXR96049
CERK	R9EC63C6B	MNXR96640
SPODMm	R9ED7B721	MNXR104498
EX_vacc_LPAREN_e_RPAREN_	R9EF34A65	MNXR99030
ASNALANaEx	R9F16F61C	MNXR96052
6DHFtl	R9F4F7CA0	MNXR95096
MTAP	R9FDF1009	MNXR101745
TPI	R9FED80B1	MNXR104918
HAS2	RA02D2D3E	MNXR100559
TRPt	RA0333815	MNXR104949
CAt7r	RA04E66D6	MNXR96461
THRGLNexR	RA055457F	MNXR104840
C160CPT1	RA05DAFF0	MNXR96384
DOLGPP_Ler	RA0716494	MNXR97700
NAIt	RA0BF51D8	MNXR101906
TTDCPT1	RA0FCBAC7	MNXR104972
DURIK1	RA1A091DF	MNXR97817
NDPK5	RA1BF3EE5	MNXR96118
FAS140COA	RA1DCB750	MNXR99393
ETHAK	RA20D60E9	MNXR97969
EX_ttdca_LPAREN_e_RPAREN_	RA226F0E1	MNXR98996
NTD9	RA22B3905	MNXR100381
RIBt2	RA2918477	MNXR104037
GCC2am	RA330454B	MNXR100065
DM_dctp_LPAREN_m_RPAREN_	RA332B63C	MNXR97571
C204CPT1	RA383DB86	MNXR96400
DUDPtn	RA3BBC3AB	MNXR97812
DALAOXx	RA3DC205B	MNXR97134
PDHm	RA3FA8612	MNXR102425
ICDHy	RA43CA1FF	MNXR100781
NTD3	RA49CA54F	MNXR102033
DUTPDPm	RA49ECCC0	MNXR97822
NADPHOX	RA4CFAA8	
PIt9	RA4E06FA9	MNXR102876
DOLGLCP_Lter	RA4FB1DFF	MNXR97697
PI345P5P	RA502B511	MNXR102678
FAOXC180x	RA5263BDD	MNXR99314
C3STKR2r	RA55D7F20	MNXR96413
LGNCt	RA568F235	MNXR101065
ARACHCOAtx	RA59D1DE8	MNXR95914
DSAT	RA5AD5BB8	MNXR97789
MNXRMNXC3	RA5B1C3F8	MNXR01
UPPN	RA6046011	MNXR96347
CYTK11	RA61E699F	MNXR97049
EX_o2_LPAREN_e_RPAREN_	RA65CB13F	MNXR98799
EX_foLPAREN_e_RPAREN_	RA6637795	MNXR98490
FUMm	RA66A0FC2	MNXR99705
URIK1	RA6C72DA8	MNXR105162
CREATtmdiffir	RA6D7DD6	MNXR96886
GARFT	RA6E23FBB	MNXR99623
DURAD	RA6FDE8D6	MNXR97814
GRTTx	RA737541A	MNXR99634
ORNDC	RA760988D	MNXR102209
O2t	RA7D59D67	MNXR102090
FAOXC200180m	RA7D9DF06	MNXR99336
EX_met_L_LPAREN_e_RPAREN_	RA7DC31A9	MNXR98753
EX_hdcea_LPAREN_e_RPAREN_	RA8236A3E	MNXR98651
RNDR2	RA88B6AA	MNXR104062
EX_h2o2_LPAREN_e_RPAREN_	RA8B91E64	MNXR98640
FOLt2	RA8BC8AD5	MNXR99613
CEPTC	RA924DCF3	MNXR96592
S6TASE25ly	RA92A4A92	MNXR104225
CHSTEROLt2	RA947B447	MNXR96700
CSNATr	RA97A7D40	MNXR96926
TRIODTHYt2	RA9E2832F	MNXR104939
NTD2	RAA59B1A1	MNXR102032
SPHMDAc	RAA6C983	MNXR104486
MGSA2	RAAF7C68D	MNXR101552
HACD9m	RAB2F8AE9	MNXR100550
ELAIDCPT1	RAB4FC500	MNXR97913
EX_dad_2_LPAREN_e_RPAREN_	RAB70F856	MNXR98393
GLNLASEer	RAB7D516C	MNXR100250
C4STMO1r	RAB8194C3	MNXR94990
DNDPt46m	RAB9B0736	MNXR97659
ARTPLM3	RABC60CE1	MNXR96037
RETH2	RABFB6DDD	MNXR104001
NMNATn	RABFC2253	MNXR95841
CO2t	RAC30B082	MNXR96810
O2tp	RAC4B4233	MNXR102090
GLUDC	RAC97DA3F	MNXR95942
PIK4	RACE0F333	MNXR102825
RTOTAL2CRNCPT1	RAD206B6F	MNXR104099
URIt4	RAD4E3E64	MNXR105167
FAOXC18280m	RADBC5C62	MNXR99322
biomass	RAE42FABE	
AKGDm	RAE74FD1	MNXR95655
ARGSS	RAE835873	MNXR95949
EX_h2o_LPAREN_e_RPAREN_	RAEFECF36	MNXR98641
ACACt2m	RAF1D687E	MNXR95207
CYSTHRNaEx	RAF1E53C4	MNXR97015
MMMm	RAF212329	MNXR101661
MI1PP	RAF26BBB8	MNXR101570
EX_ins_LPAREN_e_RPAREN_	RAF482FE1	MNXR98683
GLNCYSNaEx	RAF97BA9F	MNXR100249
GTHS	RAFB654F	MNXR100450
H2Ot	RAFDEC4FB	MNXR98641
FBA	RAFECFB27	MNXR99459
34DHOXPEGt	RB020239	MNXR94834
G6PDH1rer	RB024EC03	MNXR99906
PSERT	RB032AF38	MNXR103225
C4STMO2Pr	RB035196	MNXR96419
UMPK5n	RB03AB1DE	MNXR105122
"DNDPt24m;DNDPt9m"	RB0697448	MNXR97642
H2O2syn	RB0A520BF	MNXR100492
DNDPt37m	RB0E6D7B0	MNXR97649
PSFLIPm	RB129273C	MNXR103249
ATPtx	RB12F079B	MNXR96140
URIt	RB160669F	MNXR105165
MI1345PP	RB17C3E	MNXR100889
GLRASE	RB1FFC35D	MNXR100269
DNDPt49m	RB2647E6F	MNXR97662
SPMDOX	RB26C654A	MNXR104481
GLYtp	RB29F6EB9	MNXR100371
GGH_6DHFl	RB313E065	MNXR100122
ARTFR34	RB325280B	MNXR96005
C181CPT2	RB325B671	MNXR96396
PA_HStn	RB3839DB6	MNXR102388
3HAO	RB38AE1EC	MNXR94889
MERCPLACCYSt	RB49F8F10	MNXR101467
GSNt	RB4C7B4C9	MNXR100433
FAOXC80	RB4CAF0A3	MNXR99373
MEVK1x	RB4DB9A8D	MNXR101495
SPH1Pte	RB5042F69	MNXR104482
ALR2	RB50607E1	MNXR95788
PUNP7	RB5189393	MNXR103349
DNDPt19m	RB53EE89C	MNXR97637
GCCam	RB549A198	MNXR100067
FORtr	RB54EE5B6	MNXR99620
THYOXt2	RB55DA580	MNXR104856
FBA4	RB583A125	MNXR99462
CTPS1	RB5D6709	MNXR96944
EX_ribflv_LPAREN_e_RPAREN_	RB6199AB8	MNXR98912
4MOPt2im	RB6A95374	MNXR95034
ADNK1m	RB6C7D608	MNXR95456
FADH2tx	RB77B83CF	MNXR99212
CYTK13	RB7CF405	MNXR97051
AIRCr	RB7EE398E	MNXR95646
EX_succ_LPAREN_e_RPAREN_	RB8030CA0	MNXR97619
DMATTx	RB810DE18	MNXR97512
C204CPT2	RB85C92B7	MNXR96400
EX_seL_LPAREN_e_RPAREN_	RB86510C5	MNXR98930
PRAGSr	RB87F9B6	MNXR103139
EX_ocdca_LPAREN_e_RPAREN_	RB9037009	MNXR98807
MCLACCYSR	RB97C4FAA	MNXR101418
PI4PLC	RB98C53A2	MNXR102790
KHK	RB9BCCB0	MNXR100936
"H2CO3Dm;HCO3Em"	RB9C27F17	MNXR100482
PUNP4	RB9C68924	MNXR103346
NOS2	RB9CA9012	MNXR102007
ORNTArm	RBA3459C1	MNXR102220
TAURt4_LPAREN_2_RPAREN_r	RBA3F5EC5	MNXR104734
HAtly	RBA4361F1	MNXR100564
ATPtn	RBAA2B96	MNXR96140
ASNtN1	RBAA4B637	MNXR96068
ALR3	RBAC2004D	MNXR95789
"DNDPt23m;DNDPt34m"	RBAC90EFC	MNXR97641
SACCD4m	RBB2C5F25	MNXR104236
ADK3	RBB488E96	MNXR95452
RADH	RBB8FAD0A	MNXR103412
CYTDt4	RBBBB82D0	MNXR97045
GPDDA1	RBBC1C40B	MNXR100410
HYPTROX	RBBFF63F0	MNXR100764
IPDDIx	RBC0FB4E	MNXR100796
GLYt7_LPAREN_211_RPAREN_r	RBC21126E	MNXR100369
URAt	RBC2DC566	MNXR105147
PPBNGS	RBC32739D	MNXR103095
HISD	RBC34FA4D	MNXR100639
GLNALANaEx	RBC35340C	MNXR100246
CYTK1	RBC3CBF86	MNXR97047
CEPTE	RBC8368EB	MNXR96611
EX_elaid_LPAREN_e_RPAREN_	RBCD11D89	MNXR98443
CYTK2	RBCD1B1DF	MNXR97053
PHETA1	RBCF0DD64	MNXR102631
MMTSADm	RBD2D4E36	MNXR101668
PIK5n	RBD318AE9	MNXR102844
CRNCARtp	RBD40CD05	MNXR96898
FPGS5m	RBDDCA926	MNXR99628
DGK2m	RBE0ACE83	MNXR97321
TMDPK	RBE5FE30F	MNXR104886
ALAGLYexR	RBE7CB50D	MNXR95691
DNDPt61m	RBEBCDF1E	MNXR97675
34DHPHEt	RBEFF1A18	MNXR94838
ALADGLYexR	RBF449E71	MNXR95686
FAOXC1811602m	RBF67C98F	MNXR99316
URIt5	RC02FB41E	MNXR105168
GCHOLAt	RC0367D9B	MNXR100070
GTHDH	RC06A8CD0	MNXR100442
HPYRDC	RC0981098	MNXR100700
GLUt2m	RC0A220A0	MNXR100300
VD3	RC0B4A01	MNXR105197
CHATn	RC0FC9886	MNXR96666
SERASNNaEx	RC12011C7	MNXR104331
EX_pydx_LPAREN_e_RPAREN_	RC121E3EE	MNXR98893
EX_creat_LPAREN_e_RPAREN_	RC1584550	MNXR98366
NTD7	RC16F2CB0	MNXR102037
CYTK7	RC174D618	MNXR97058
H2O2tp	RC18EC10A	MNXR98640
TKT1	RC23D3212	MNXR104868
RTOT1	RC27870A5	MNXR104087
ARTFR213	RC2A297E5	MNXR95997
HPYRR2x	RC2BDF95A	MNXR100701
ELAIDCRNt	RC2D7347A	MNXR97914
NDPK1	RC2D8CC50	MNXR96119
SERt4	RC313DF32	MNXR104346
SERPT	RC339D5F7	MNXR104347
DNDPt31m	RC3904DC8	MNXR97647
FCLTm	RC3E286AC	MNXR99471
C161CRNt	RC3EE03F2	MNXR96390
PGI	RC4168FC7	MNXR102535
LPASE	RC43999F9	MNXR101122
SERALANaEx	RC46787E5	MNXR104330
FADtx	RC46A2C7C	MNXR99217
FACOAL140i	RC4725D3A	MNXR99145
LCADi_D	RC495EBEF	MNXR101019
PROD2	RC4D2F1CF	MNXR103187
CYTK8	RC543071E	MNXR97059
H2O2tn	RC54CF848	MNXR98640
ADRNt	RC55E217E	MNXR95490
ABTArm	RC56891AD	MNXR95186
ACt2r	RC5A0B866	MNXR95429
TMNDNCCOAtx	RC5AE03EE	MNXR104902
DNDPt50m	RC6112AB4	MNXR97664
GLUPRT	RC63EFB16	MNXR100287
DESAT18_4	RC6475D23	MNXR97244
DCTPtn	RC658B090	MNXR97205
P5CRm	RC658B481	MNXR102302
DINt	RC662625B	MNXR97466
CYSGLUexR	RC66B20EB	MNXR97000
RTOT_3	RC6BCFF17	MNXR104113
FAOXC204	RC6C7E0EC	MNXR99340
UMPK3n	RC74C4DE3	MNXR105120
ALCD22_L	RC7697FD7	MNXR95715
TYRCBOX	RC76CA6E5	MNXR104990
GTMLTe	RC795D48	MNXR100452
FAS160COA	RC79EFB7A	MNXR99399
BTNt4i	RC80DC7AC	MNXR96337
MI145PK	RC84B03FF	MNXR101564
Htr	RC8727D9F	MNXR100765
sink_TyDASH_ggn_LSQBKT_c_RSQBKT_	RC8AAB074	MNXR98192
NRVNCCOAtx	RC8FAA33C	MNXR102020
THFtm	RC91673BA	MNXR104812
SO4CLtex2	RC9376F5A	MNXR104462
EX_ala_D_LPAREN_e_RPAREN_	RC96712E3	MNXR98255
PYK	RC978DBA	MNXR103371
FAOXC16080m	RC98C6E94	MNXR99297
GULNter	RCA0169FC	MNXR100474
ADNK1	RCA3AEEE9	MNXR95456
DESAT22_1p	RCA51BCB0	MNXR97252
DURItn	RCA5EFA58	MNXR97819
FAOXC226205x	RCA83F864	MNXR99356
ACITL	RCAC4827D	MNXR95268
GLNt4	RCAFDBE47	MNXR100261
NMNATr	RCB21E906	MNXR95841
HCO3_NAt	RCB3891E7	MNXR100485
ADPT	RCB51EE07	MNXR95482
NORANMT	RCBA2696C	MNXR102001
RTOTALCRNCPT2	RCCE8A58C	MNXR104107
BHBtm	RCD4A2FD9	MNXR96249
ALCD21_D	RCD571459	MNXR95713
NADHtru	RCD9690E9	MNXR101881
OCDCAtr	RCD9F6516	MNXR99109
C160CPT2	RCDAD28D	MNXR96384
GF6PTA	RCED98FAD	MNXR100107
PGPP_hs	RCF34A2C2	MNXR102585
2OXOADOXm	RCF56F82	MNXR94818
PPItx	RCFA3F690	MNXR103112
CLOXAtex2	RCFB57537	MNXR96769
ARTFR46	RCFEEC803	MNXR96017
CREATt4_LPAREN_2_RPAREN_r	RD0018D9E	MNXR96885
SPMS	RD001A12A	MNXR95860
CYTK4	RD02038B3	MNXR97057
H2O2t	RD0413781	MNXR98640
DHCRD1	RD05C0A8C	MNXR97385
BHMT	RD072B213	MNXR96250
UMPK6	RD0B0933A	MNXR105123
ARTFR208	RD0EC71A8	MNXR95987
DHAAt1r	RD1C50A22	MNXR97356
GGH_5DHFl	RD21C36A1	MNXR100120
RPI	RD224EF31	MNXR104084
APAT2rm	RD23A25BA	MNXR95862
UMPK2	RD246DFB3	MNXR105119
C161CPT22	RD28D7AFA	MNXR96388
SLCBK1	RD2A8BF00	MNXR104439
METS	RD2EBF8F3	MNXR101481
NAt3_1	RD33362A0	MNXR101803
GALU	RD35D0E52	MNXR100022
FATP1t	RD3836E94	MNXR99450
ENO	RD3DAA704	MNXR97932
XYLK	RD4008875	MNXR105255
KCCt	RD44A8741	MNXR100930
ARACHCPT2	RD4620518	MNXR95915
CLI2tex	RD4703298	MNXR96765
GACMTRc	RD4BAF0EA	MNXR99917
GCALDD	RD4C00AA8	MNXR100060
ARTPLM3m	RD4E63FD1	MNXR96037
TCHOLAt	RD4E7F707	MNXR104742
TRDR	RD4FECEA7	MNXR104766
DNDPt6m	RD54EC047	MNXR97677
PSP_L	RD5D4BE96	MNXR103260
CHOLK	RD5EF6773	MNXR96702
5MTHFt	RD649A526	MNXR95088
GLUCYS	RD6890A99	MNXR100074
EX_ha_LPAREN_e_RPAREN_	RD6A9F86D	MNXR98644
DPMVDx	RD6CB9579	MNXR97776
SPTix	RD6D36755	MNXR104504
CYTDt5	RD6DA08AA	MNXR97046
EX_arg_L_LPAREN_e_RPAREN_	RD6F7BF7B	MNXR98286
CK	RD7049253	MNXR96757
MDHm	RD75FE11C	MNXR101439
ALDD2xm	RD770252D	MNXR95749
PGCD	RD7E92D69	MNXR102527
TMDS	RD838F4FB	MNXR104889
ESTRADIOLGLCt	RD854FAA1	MNXR97952
SQLSr	RD861B991	MNXR104529
FATP9t	RD89DC48B	MNXR99458
UREAt	RD8AFDF0D	MNXR105156
3MOX4HOXPGALDOX	RD8E686DE	MNXR94928
O2ter	RD8FF44C2	MNXR102090
NOS1	RD90101E7	MNXR102006
UREAtm	RD911C930	MNXR105156
DOPABMO	RD9760F6F	MNXR97750
EX_no_LPAREN_e_RPAREN_	RD997239A	MNXR97603
NDPK2	RD9B8313F	MNXR101935
ARACHDCOAtx	RD9CBA2A0	MNXR95917
FAOXC2251836m	RD9D2EA04	MNXR99351
HIStN1	RD9E19D6F	MNXR100648
ACTLMO	RDAC1E242	MNXR95422
S6TASE7ly	RDAE44B03	MNXR104232
DCYTD	RDAE77DD2	MNXR97207
RADH3	RDAEAB5C2	MNXR103414
ILEtec	RDAED1D1E	MNXR100824
ILEt5m	RDB530B23	MNXR100824
PTRCOX1	RDB7C950C	MNXR103334
EX_pydam_LPAREN_e_RPAREN_	RDB7F6025	MNXR98892
AMPDA	RDC81D060	MNXR95824
FUMSO3tm	RDCC43D65	MNXR99708
ABUTt2r	RDCF8D3CE	MNXR94994
PPDOy	RDCFAAC01	MNXR103108
3SALAOX	RDD00E383	MNXR94979
IDPtn	RDD2C8250	MNXR100809
EX_vitd3_LPAREN_e_RPAREN_	RDD390642	MNXR99035
CYTK12	RDD3DD205	MNXR97050
GLCURter	RDDFBF01	MNXR100235
GLNASNNaEx	RDDFE434C	MNXR100247
ITCOAL1m	RDE10A669	MNXR100883
ALAASNNaEx	RDE4F1369	MNXR95680
ABUTt4_LPAREN_2_RPAREN_r	RDE7A580	MNXR95192
LNELDCCRNt	RDEBCD331	MNXR101102
ARTFR31	RDF76CA57	MNXR95999
DHCR72r	RDFEC0A4C	MNXR97384
DNDPt7m	RDFEEBAF3	MNXR97175
GTHOm	RE017A256	MNXR100098
PCHOLPhs	RE0506E55	MNXR102408
2HCO3_NAt	RE07B986E	MNXR94798
ECOAH1m	RE12DF594	MNXR97883
RADH2	RE142E088	MNXR103413
DCT	RE16EF885	MNXR97199
GMPS2	RE1876561	MNXR100384
NKCC2t	RE1B59CAC	MNXR101967
SPODMx	RE1C378C4	MNXR104498
DHPM1	RE1CA5644	MNXR97432
CYTK9n	RE1E67B9E	MNXR97060
NDPK5m	RE2AD5E54	MNXR96118
PRDXl	RE2B220BF	MNXR103159
ARGNm	RE2C9A0BB	MNXR95945
CYTK4n	RE2F53E7F	MNXR97057
C4STMO2r	RE2FD32D7	MNXR96420
GND	RE3198A0B	MNXR100389
PIPLCn	RE3350050	MNXR102851
PAFH	RE3498CEF	MNXR102323
PIt8	RE37287ED	MNXR102875
GLYATm	RE3B54CCC	MNXR100313
CYTK6	RE410FF1	MNXR96876
"DNDPt28m;DNDPt36m"	RE43F4E3B	MNXR97644
EX_thm_LPAREN_e_RPAREN_	RE47D2287	MNXR98974
